graph,method,n,e,real communities,found communities,time,m_nmimodularity,pcov,pper
footbal,louvain,115,613,12,9,8,0.8978190271791227,0.60440722890925,0.7292006525285482,0.9246376811594202
footbal,leiden,115,613,12,10,2,0.9326608173792055,0.6044285185845559,0.7063621533442088,0.9435545385202135
footbal,label_propagation,115,613,12,9,2,0.9016416575520652,0.5930970889030228,0.7128874388254486,0.926468344774981
footbal,greedy_modularity,115,613,12,6,34,0.7929196765914576,0.5682413929834553,0.7716150081566069,0.8532418001525554
footbal,eigenvector,115,613,12,8,6,0.7366404655304147,0.4926058296453406,0.6411092985318108,0.883905415713196
footbal,infomap,115,613,12,11,331,0.9543419011408927,0.6018817411760948,0.6982055464926591,0.9490465293668955
footbal,markov_clustering,115,613,12,12,179,0.9720299932793397,0.6005165407471078,0.6900489396411092,0.9548436308161709
footbal,surprise_communities,115,613,12,12,2,0.9720299932793397,0.6005165407471078,0.6900489396411092,0.9548436308161709
footbal,walktrap,115,613,12,10,3,0.9368834965656078,0.602914290428428,0.7047308319738989,0.9434019832189169
footbal,df_node_similarity,115,613,12,8,148,0.8390553186650234,0.5760680098677644,0.7063621533442088,0.9163996948893974
